popular_name,Service,Description
Equipment Rental,Construction Equipment Rental,Already included above
Vehicle Rental,Car Rental,Short-term passenger vehicle rental services
Vehicle Rental,Truck Rental,Commercial vehicle and moving truck rental
Vehicle Rental,Motorcycle Rental,Motorbike and scooter rental for recreation and transport
Vehicle Rental,RV and Camper Rental,Recreational vehicle rental for camping and travel
Vehicle Rental,Luxury Car Rental,High-end and exotic vehicle rental services
Vehicle Rental,Van Rental,Cargo van and passenger van rental services
Vehicle Rental,Equipment Trailer Rental,Specialized trailer rental for equipment transport
Vehicle Rental,Wedding Car Rental,Special occasion and ceremonial vehicle rental
Vehicle Rental,Airport Rental,Vehicle rental services at airports and terminals
Vehicle Rental,Long-Term Rental,Extended vehicle rental and lease programs
Property Development,Land Development,Raw land preparation and subdivision for construction
Property Development,Residential Development,Housing estate and residential community development
Property Development,Commercial Development,Office retail and commercial property development
Property Development,Mixed-Use Development,Combined residential and commercial property projects
Property Development,Urban Renewal,Inner-city redevelopment and urban regeneration projects
Property Development,Master Planning,Large-scale community and development planning
Property Development,Investment Development,Property development for investment and capital growth
Property Development,Sustainable Development,Environmentally responsible and green building development
Property Development,Infrastructure Development,Utility and community infrastructure development
Property Development,Joint Venture Development,Partnership-based property development projects
Real Estate Appraisal & Valuation,Property Valuation,Professional property value assessment and appraisal
Real Estate Appraisal & Valuation,Market Analysis,Property market research and trend analysis
Real Estate Appraisal & Valuation,Insurance Valuations,Property replacement value assessment for insurance
Real Estate Appraisal & Valuation,Stamp Duty Valuations,Government tax assessment property valuations
Real Estate Appraisal & Valuation,Mortgage Valuations,Bank lending property value assessment
Real Estate Appraisal & Valuation,Commercial Valuations,Business property and investment property assessment
Real Estate Appraisal & Valuation,Rental Assessments,Market rent determination and rental value analysis
Real Estate Appraisal & Valuation,Development Feasibility,Property development viability and value analysis
Real Estate Appraisal & Valuation,Court Valuations,Legal dispute and family court property valuations
Real Estate Appraisal & Valuation,Tax Depreciation,Property depreciation schedules for tax purposes
Buyer's Agents,Property Search,Professional property hunting and selection services
Buyer's Agents,Negotiation Services,Property purchase price negotiation on behalf of buyers
Buyer's Agents,Market Research,Property market analysis and suburb research
Buyer's Agents,Auction Bidding,Professional auction attendance and bidding services
Buyer's Agents,Due Diligence,Property inspection and purchase risk assessment
Buyer's Agents,Investment Advice,Property investment strategy and portfolio advice
Buyer's Agents,First Home Buyer Service,Specialized assistance for new property purchasers
Buyer's Agents,Commercial Property,Business property acquisition and investment services
Buyer's Agents,Off-Market Properties,Access to private sale and off-market property opportunities
Buyer's Agents,Settlement Coordination,Property purchase completion and settlement management
Property Maintenance & Services,Property Management,Rental property oversight and tenant management
Property Maintenance & Services,Maintenance Coordination,Property repair and upkeep service coordination
Property Maintenance & Services,Cleaning Services,Property cleaning and presentation services
Property Maintenance & Services,Landscaping,Garden maintenance and outdoor property care
Property Maintenance & Services,Handyman Services,General property repair and maintenance work
Property Maintenance & Services,Emergency Repairs,24/7 urgent property repair and maintenance
Property Maintenance & Services,Tenant Screening,Rental applicant background checking and verification
Property Maintenance & Services,Rent Collection,Rental payment processing and arrears management
Property Maintenance & Services,Property Inspections,Regular property condition assessment and reporting
Property Maintenance & Services,Vacancy Management,Property preparation and marketing for new tenants
Short-term Rentals (Airbnb),Vacation Rental Management,Holiday accommodation hosting and management
Short-term Rentals (Airbnb),Guest Services,Tourist and traveler accommodation services
Short-term Rentals (Airbnb),Property Listing,Online vacation rental advertising and promotion
Short-term Rentals (Airbnb),Cleaning and Turnover,Property preparation between guest stays
Short-term Rentals (Airbnb),Guest Communication,Booking inquiry and guest support services
Short-term Rentals (Airbnb),Price Optimization,Dynamic pricing and revenue maximization strategies
Short-term Rentals (Airbnb),Property Setup,Vacation rental property preparation and furnishing
Short-term Rentals (Airbnb),Review Management,Guest feedback and rating optimization
Short-term Rentals (Airbnb),Legal Compliance,Short-term rental regulation and permit compliance
Short-term Rentals (Airbnb),Insurance Services,Vacation rental property protection and liability coverage
Strata Management,Body Corporate Management,Apartment and unit complex administration
Strata Management,Common Area Maintenance,Shared facility upkeep and repair coordination
Strata Management,Financial Management,Strata levy collection and budget administration
Strata Management,Committee Support,Owner committee meeting coordination and support
Strata Management,Compliance Management,Building regulation and bylaw compliance oversight
Strata Management,Insurance Coordination,Building insurance and claims management
Strata Management,Dispute Resolution,Owner conflict mediation and resolution services
Strata Management,Capital Works Planning,Major building maintenance and improvement planning
Strata Management,Record Keeping,Strata corporation document and record management
Strata Management,Owner Communication,Information distribution and community updates
Legal Services,Corporate Law,Business legal advice and commercial transactions
Legal Services,Family Law,Divorce custody and family legal matters
Legal Services,Criminal Defense,Legal representation for criminal charges
Legal Services,Personal Injury,Legal representation for accident and injury claims
Legal Services,Property Law,Real estate transactions and property disputes
Legal Services,Employment Law,Workplace legal issues and employment disputes
Legal Services,Intellectual Property,Patent trademark and copyright legal services
Legal Services,Immigration Law,Visa citizenship and immigration legal assistance
Legal Services,Tax Law,Tax planning compliance and dispute resolution
Legal Services,Contract Law,Contract drafting review and dispute resolution
Accounting Services,Bookkeeping,Daily financial record keeping and transaction recording
Accounting Services,Tax Preparation,Individual and business tax return services
Accounting Services,Financial Auditing,Independent examination of financial statements
Accounting Services,Payroll Services,Employee payroll processing and tax withholding
Accounting Services,Financial Planning,Personal and business financial strategy development
Accounting Services,Business Consulting,Financial advisory and business improvement services
Accounting Services,Tax Advisory,Strategic tax planning and compliance guidance
Accounting Services,Forensic Accounting,Financial investigation and fraud detection services
Accounting Services,Management Accounting,Internal financial reporting and cost analysis
Accounting Services,GST Services,Goods and Services Tax compliance and filing
CFD Trading,Forex Trading,Currency pair trading through contracts for difference
CFD Trading,Index Trading,Stock market index CFD trading services
CFD Trading,Commodity Trading,Raw material and commodity CFD trading
CFD Trading,Cryptocurrency Trading,Digital currency CFD trading platforms
CFD Trading,Stock CFDs,Individual stock trading through contracts for difference
CFD Trading,Options Trading,Derivative options trading and strategies
CFD Trading,Futures Trading,Commodity and financial futures contract trading
CFD Trading,Margin Trading,Leveraged trading services with borrowed capital
CFD Trading,Trading Education,Training and education for CFD trading strategies
CFD Trading,Risk Management,Portfolio risk assessment and hedging strategies
Hair Salon,Hair Cutting,Professional hair cutting and styling services
Hair Salon,Hair Coloring,Hair dyeing highlighting and color correction
Hair Salon,Hair Treatments,Deep conditioning and restorative hair treatments
Hair Salon,Blow Drying,Professional hair drying and styling services
Hair Salon,Perming Services,Chemical hair curling and texturing treatments
Hair Salon,Hair Extensions,Application of natural and synthetic hair extensions
Hair Salon,Scalp Treatments,Therapeutic scalp care and dandruff treatment
Hair Salon,Wedding Hair,Bridal and special occasion hair styling
Hair Salon,Men's Grooming,Specialized hair services for male clients
Hair Salon,Hair Consultation,Professional advice on hair care and styling
Beauty,Facial Treatments,Professional skincare and facial rejuvenation services
Beauty,Makeup Services,Professional makeup application for events and photography
Beauty,Eyebrow Shaping,Eyebrow threading waxing and microblading services
Beauty,Nail Services,Manicures pedicures and nail art services
Beauty,Skincare Consultation,Professional skin analysis and treatment recommendations
Beauty,Anti-Aging Treatments,Botox fillers and cosmetic enhancement procedures
Beauty,Body Treatments,Spa treatments including massage and body wraps
Beauty,Eyelash Extensions,Application of individual and volume eyelash extensions
Beauty,Permanent Makeup,Cosmetic tattooing for eyebrows lips and eyeliner
Beauty,Beauty Training,Professional education in beauty techniques and treatments
Plumber,Pipe Installation,Installation of water supply and drainage systems
Plumber,Leak Repair,Detection and repair of water leaks in plumbing systems
Plumber,Drain Cleaning,Clearing blocked drains and sewer lines
Plumber,Toilet Repair,Installation and repair of toilets and bathroom fixtures
Plumber,Hot Water Systems,Installation and maintenance of water heating systems
Plumber,Gas Fitting,Installation and repair of gas lines and appliances
Plumber,Emergency Plumbing,24/7 emergency plumbing repair services
Plumber,Bathroom Renovation,Complete bathroom plumbing for renovation projects
Plumber,Pipe Relining,Trenchless pipe repair and rehabilitation services
Plumber,Backflow Prevention,Installation and testing of backflow prevention devices
Electrician,Electrical Installation,Wiring and electrical system installation services
Electrician,Lighting Installation,Indoor and outdoor lighting system setup
Electrician,Electrical Repair,Troubleshooting and repair of electrical problems
Electrician,Safety Inspections,Electrical safety testing and compliance checks
Electrician,Solar Panel Installation,Residential and commercial solar energy system setup
Electrician,Home Automation,Smart home technology installation and programming
Electrician,Switchboard Upgrades,Electrical panel replacement and modernization
Electrician,Emergency Electrical,24/7 emergency electrical repair services
Electrician,Commercial Electrical,Large-scale electrical services for businesses
Electrician,Electrical Maintenance,Ongoing maintenance and preventive electrical care
Gyms & Studio,Personal Training,One-on-one fitness coaching and workout programs
Gyms & Studio,Group Fitness Classes,Organized exercise classes for multiple participants
Gyms & Studio,Yoga Classes,Traditional and modern yoga instruction and practice
Gyms & Studio,Pilates Training,Core strengthening and flexibility training programs
Gyms & Studio,Weight Training,Strength building and muscle development programs
Gyms & Studio,Cardio Programs,Cardiovascular fitness and endurance training
Gyms & Studio,Nutrition Consulting,Diet planning and nutritional guidance services
Gyms & Studio,Fitness Assessments,Physical fitness testing and progress monitoring
Gyms & Studio,Rehabilitation Services,Injury recovery and physical therapy programs
Gyms & Studio,Membership Services,Gym access and facility usage programs
Dentist,General Dentistry,Routine dental care and oral health maintenance
Dentist,Teeth Cleaning,Professional dental hygiene and plaque removal
Dentist,Dental Fillings,Cavity treatment and tooth restoration services
Dentist,Root Canal Treatment,Endodontic therapy for infected tooth pulp
Dentist,Orthodontics,Teeth straightening with braces and aligners
Dentist,Dental Implants,Permanent tooth replacement with titanium implants
Dentist,Cosmetic Dentistry,Aesthetic dental treatments and smile enhancement
Dentist,Teeth Whitening,Professional tooth bleaching and brightening services
Dentist,Oral Surgery,Surgical procedures for complex dental problems
Dentist,Emergency Dental Care,Urgent dental treatment for pain and trauma
Real Estate & Property,Property Sales,Residential and commercial property transactions
Real Estate & Property,Property Management,Rental property oversight and tenant relations
Real Estate & Property,Property Rental,Leasing services for residential and commercial spaces
Real Estate & Property,Investment Consulting,Property investment advice and market analysis
Real Estate & Property,Property Marketing,Advertising and promotion of properties for sale
Real Estate & Property,Lease Negotiations,Contract negotiation for rental agreements
Real Estate & Property,Property Inspections,Professional assessment of property condition
Real Estate & Property,Market Analysis,Property valuation and market trend research
Real Estate & Property,Commercial Leasing,Business property rental and leasing services
Real Estate & Property,Property Development,Land development and construction project management
IT Services & Web Development,Website Design,Custom website creation and user interface design
IT Services & Web Development,Software Development,Custom application and software programming
IT Services & Web Development,Database Management,Data storage organization and system administration
IT Services & Web Development,Network Security,Cybersecurity and data protection services
IT Services & Web Development,Cloud Services,Cloud computing setup and migration services
IT Services & Web Development,Mobile App Development,iOS and Android application development
IT Services & Web Development,IT Support,Technical support and troubleshooting services
IT Services & Web Development,System Integration,Connecting different software systems and platforms
IT Services & Web Development,Data Analytics,Business intelligence and data analysis services
IT Services & Web Development,E-commerce Solutions,Online store development and payment integration
Cafes and Restaurants,Fine Dining,High-end restaurant service with gourmet cuisine
Cafes and Restaurants,Casual Dining,Relaxed restaurant atmosphere with diverse menu options
Cafes and Restaurants,Coffee Service,Specialty coffee preparation and cafe beverages
Cafes and Restaurants,Breakfast Service,Morning meal service and breakfast specialties
Cafes and Restaurants,Lunch Service,Midday dining options and quick meal solutions
Cafes and Restaurants,Dinner Service,Evening dining with full menu options
Cafes and Restaurants,Catering Services,Off-site food service for events and functions
Cafes and Restaurants,Takeaway Orders,Food preparation for customer pickup
Cafes and Restaurants,Delivery Service,Home and office food delivery options
Cafes and Restaurants,Private Events,Restaurant space rental for special occasions
Accommodation,Hotel Services,Guest lodging and hospitality services
Accommodation,Bed and Breakfast,Small-scale accommodation with morning meals
Accommodation,Vacation Rentals,Short-term holiday accommodation rentals
Accommodation,Hostel Services,Budget accommodation for travelers and backpackers
Accommodation,Resort Services,Full-service vacation destination accommodation
Accommodation,Conference Facilities,Business meeting and event space rental
Accommodation,Room Service,In-room dining and guest service delivery
Accommodation,Concierge Services,Guest assistance and local information services
Accommodation,Spa Services,Wellness and relaxation treatments for guests
Accommodation,Tour Booking,Local attraction and activity reservation services
Air Conditioning and Heating Services,HVAC Installation,Complete heating ventilation and cooling system setup
Air Conditioning and Heating Services,System Maintenance,Regular servicing and upkeep of climate control systems
Air Conditioning and Heating Services,Repair Services,Troubleshooting and fixing of heating and cooling equipment
Air Conditioning and Heating Services,Duct Cleaning,Air duct sanitization and debris removal services
Air Conditioning and Heating Services,Energy Efficiency Audits,Assessment of system performance and energy usage
Air Conditioning and Heating Services,Thermostat Installation,Smart and programmable temperature control setup
Air Conditioning and Heating Services,Refrigeration Services,Commercial and industrial cooling system maintenance
Air Conditioning and Heating Services,Emergency Repairs,24/7 urgent heating and cooling system repairs
Air Conditioning and Heating Services,System Upgrades,Modernization of existing HVAC equipment
Air Conditioning and Heating Services,Indoor Air Quality,Air purification and ventilation improvement services
Veterinary Services,Pet Health Checkups,Routine veterinary examinations and wellness care
Veterinary Services,Vaccinations,Preventive immunizations for dogs cats and other pets
Veterinary Services,Surgery Services,Surgical procedures for sick and injured animals
Veterinary Services,Emergency Care,24/7 urgent veterinary treatment for critical cases
Veterinary Services,Dental Care,Veterinary dentistry and oral health services
Veterinary Services,Grooming Services,Professional pet bathing and hygiene care
Veterinary Services,Boarding Services,Temporary pet care and accommodation
Veterinary Services,Behavioral Consulting,Pet training and behavioral problem resolution
Veterinary Services,Microchipping,Pet identification and tracking chip implantation
Veterinary Services,Nutrition Counseling,Pet diet planning and feeding recommendations
Pest Control,Insect Extermination,Elimination of ants roaches and flying insects
Pest Control,Rodent Control,Mouse and rat removal and prevention services
Pest Control,Termite Treatment,Inspection and elimination of wood-destroying insects
Pest Control,Bed Bug Treatment,Detection and eradication of bed bug infestations
Pest Control,Spider Control,Removal of dangerous and nuisance spider species
Pest Control,Fumigation Services,Complete property fumigation for severe infestations
Pest Control,Preventive Treatments,Ongoing pest prevention and monitoring programs
Pest Control,Wildlife Removal,Safe removal of unwanted animals from properties
Pest Control,Lawn Pest Control,Treatment of outdoor pest problems in gardens
Pest Control,Commercial Pest Management,Large-scale pest control for businesses and institutions
Metal Manufacturing,Steel Production,Manufacturing of steel products and structural materials
Metal Manufacturing,Aluminum Processing,Production and fabrication of aluminum products
Metal Manufacturing,Metal Casting,Molding and shaping of metal products through casting
Metal Manufacturing,Sheet Metal Fabrication,Custom cutting bending and shaping of metal sheets
Metal Manufacturing,Metal Finishing,Surface treatment coating and polishing of metal products
Metal Manufacturing,Welding Services,Professional metal joining and repair services
Metal Manufacturing,Metal Recycling,Processing of scrap metal into reusable materials
Metal Manufacturing,Precision Machining,High-accuracy metal cutting and shaping services
Metal Manufacturing,Heat Treatment,Thermal processing to improve metal properties
Metal Manufacturing,Quality Testing,Metal strength and composition analysis services
Metal Products & Fabrication,Custom Metal Work,Bespoke metal fabrication for specific applications
Metal Products & Fabrication,Structural Steel,Building framework and support structure manufacturing
Metal Products & Fabrication,Metal Doors and Windows,Architectural metal products for buildings
Metal Products & Fabrication,Industrial Equipment,Heavy machinery and equipment manufacturing
Metal Products & Fabrication,Metal Furniture,Commercial and residential metal furniture production
Metal Products & Fabrication,Railings and Fencing,Safety barriers and perimeter metal products
Metal Products & Fabrication,HVAC Components,Heating ventilation and air conditioning metal parts
Metal Products & Fabrication,Automotive Parts,Metal components for vehicle manufacturing
Metal Products & Fabrication,Marine Hardware,Metal products for boats and marine applications
Metal Products & Fabrication,Agricultural Equipment,Farm machinery and metal implements
Vehicle Manufacturing,Car Assembly,Complete automobile manufacturing and assembly
Vehicle Manufacturing,Motorcycle Production,Manufacturing of motorcycles and motor scooters
Vehicle Manufacturing,Truck Manufacturing,Commercial vehicle and heavy truck production
Vehicle Manufacturing,Bus Manufacturing,Public transport vehicle manufacturing
Vehicle Manufacturing,Auto Parts Manufacturing,Production of vehicle components and spare parts
Vehicle Manufacturing,Engine Manufacturing,Automotive engine design and production
Vehicle Manufacturing,Electric Vehicle Production,Manufacturing of electric and hybrid vehicles
Vehicle Manufacturing,Vehicle Testing,Quality control and safety testing of vehicles
Vehicle Manufacturing,Custom Vehicle Builds,Specialized vehicle modification and customization
Vehicle Manufacturing,Automotive Design,Vehicle styling and engineering design services
Machinery & Equipment,Industrial Machinery,Manufacturing of heavy industrial equipment
Machinery & Equipment,Construction Equipment,Production of earthmoving and construction machinery
Machinery & Equipment,Agricultural Machinery,Farm equipment and agricultural machinery manufacturing
Machinery & Equipment,Mining Equipment,Specialized machinery for mining operations
Machinery & Equipment,Food Processing Equipment,Machinery for food production and processing
Machinery & Equipment,Packaging Machinery,Equipment for automated packaging and wrapping
Machinery & Equipment,Textile Machinery,Equipment for fabric and clothing production
Machinery & Equipment,Medical Equipment,Healthcare and diagnostic equipment manufacturing
Machinery & Equipment,Printing Machinery,Equipment for commercial printing operations
Machinery & Equipment,Machine Maintenance,Repair and servicing of industrial machinery
Furniture & Other Manufacturing,Furniture Design,Custom furniture design and development services
Furniture & Other Manufacturing,Cabinet Making,Kitchen and bathroom cabinet manufacturing
Furniture & Other Manufacturing,Upholstery Services,Furniture covering and cushioning services
Furniture & Other Manufacturing,Office Furniture,Commercial furniture for business environments
Furniture & Other Manufacturing,Outdoor Furniture,Weather-resistant furniture for external use
Furniture & Other Manufacturing,Antique Restoration,Repair and refinishing of vintage furniture
Furniture & Other Manufacturing,Custom Millwork,Architectural woodwork and trim manufacturing
Furniture & Other Manufacturing,Furniture Assembly,Professional furniture assembly and installation
Furniture & Other Manufacturing,Furniture Repair,Restoration and repair of damaged furniture
Furniture & Other Manufacturing,Interior Design,Space planning and decorative design services
Electricity Supply,Power Generation,Production of electrical energy from various sources
Electricity Supply,Grid Management,Electrical distribution network operation and control
Electricity Supply,Renewable Energy,Solar wind and hydroelectric power generation
Electricity Supply,Power Distribution,Electrical supply to residential and commercial customers
Electricity Supply,Energy Trading,Wholesale electricity market trading and brokerage
Electricity Supply,Smart Grid Services,Advanced electrical grid technology and monitoring
Electricity Supply,Energy Efficiency,Power conservation and efficiency improvement programs
Electricity Supply,Transmission Services,High-voltage electricity transport across long distances
Electricity Supply,Load Balancing,Management of electricity supply and demand
Electricity Supply,Emergency Power,Backup power systems and uninterruptible power supply
Gas Supply,Natural Gas Distribution,Residential and commercial gas supply services
Gas Supply,LPG Services,Liquefied petroleum gas delivery and installation
Gas Supply,Gas Pipeline Services,Gas transmission and distribution infrastructure
Gas Supply,Gas Appliance Installation,Setup and connection of gas-powered equipment
Gas Supply,Gas Safety Inspections,Safety testing and compliance checking of gas systems
Gas Supply,Industrial Gas Supply,Specialized gas supply for manufacturing processes
Gas Supply,Gas Meter Services,Installation and maintenance of gas measurement devices
Gas Supply,Emergency Gas Services,24/7 gas leak detection and emergency response
Gas Supply,Gas Conversion Services,Converting appliances between different gas types
Gas Supply,Compressed Gas Supply,High-pressure gas for industrial and medical applications
Water & Sewerage,Water Treatment,Purification and quality control of drinking water
Water & Sewerage,Sewage Treatment,Wastewater processing and environmental protection
Water & Sewerage,Water Distribution,Municipal water supply to homes and businesses
Water & Sewerage,Pipe Installation,Water and sewer line installation and replacement
Water & Sewerage,Water Quality Testing,Laboratory analysis of water safety and purity
Water & Sewerage,Drainage Services,Stormwater management and drainage system maintenance
Water & Sewerage,Water Conservation,Efficiency programs and water usage reduction
Water & Sewerage,Leak Detection,Advanced technology for finding water system leaks
Water & Sewerage,Pump Station Services,Water pressure and flow management systems
Water & Sewerage,Environmental Compliance,Regulatory compliance for water and waste systems
Waste Management,Garbage Collection,Regular pickup and disposal of household waste
Waste Management,Recycling Services,Processing of recyclable materials and waste reduction
Waste Management,Hazardous Waste Disposal,Safe handling and disposal of dangerous materials
Waste Management,Commercial Waste Services,Large-scale waste collection for businesses
Waste Management,Landfill Operations,Waste burial and landfill site management
Waste Management,Composting Services,Organic waste processing into fertile soil amendment
Waste Management,Electronic Waste Recycling,Responsible disposal of computers and electronics
Waste Management,Construction Waste Removal,Debris cleanup from building and demolition projects
Waste Management,Medical Waste Disposal,Specialized handling of healthcare facility waste
Waste Management,Waste Consulting,Advisory services for waste reduction and management
Residential Building Construction,Home Building,New house construction and residential development
Residential Building Construction,Home Renovation,Remodeling and improvement of existing homes
Residential Building Construction,Custom Home Design,Architectural design for bespoke residential projects
Residential Building Construction,Apartment Construction,Multi-unit residential building development
Residential Building Construction,Townhouse Development,Attached housing construction projects
Residential Building Construction,Foundation Work,Concrete foundation and basement construction
Residential Building Construction,Roofing Installation,Residential roof construction and replacement
Residential Building Construction,Kitchen Renovation,Complete kitchen remodeling and upgrade services
Residential Building Construction,Bathroom Renovation,Bathroom remodeling and fixture installation
Residential Building Construction,Home Extensions,Adding rooms and expanding existing homes
Non-Residential Building Construction,Commercial Building,Office building and retail space construction
Non-Residential Building Construction,Industrial Construction,Factory and warehouse building projects
Non-Residential Building Construction,Institutional Building,School hospital and government facility construction
Non-Residential Building Construction,Retail Construction,Shopping center and store construction
Non-Residential Building Construction,Office Fit-Out,Interior construction and finishing for commercial spaces
Non-Residential Building Construction,Healthcare Facilities,Medical center and clinic construction
Non-Residential Building Construction,Educational Buildings,School and university construction projects
Non-Residential Building Construction,Religious Buildings,Church and worship facility construction
Non-Residential Building Construction,Recreation Facilities,Sports center and entertainment venue construction
Non-Residential Building Construction,Mixed-Use Development,Combined residential and commercial building projects
Road and Bridge Construction,Highway Construction,Major road and interstate highway building
Road and Bridge Construction,Bridge Building,Construction of vehicular and pedestrian bridges
Road and Bridge Construction,Road Resurfacing,Pavement renewal and road surface improvement
Road and Bridge Construction,Traffic Infrastructure,Traffic light and road signage installation
Road and Bridge Construction,Parking Lot Construction,Commercial and residential parking area development
Road and Bridge Construction,Sidewalk Installation,Pedestrian walkway construction and maintenance
Road and Bridge Construction,Drainage Systems,Road water management and storm drain installation
Road and Bridge Construction,Railway Construction,Train track and rail infrastructure development
Road and Bridge Construction,Airport Runways,Aviation infrastructure and runway construction
Road and Bridge Construction,Tunnel Construction,Underground passage and tunnel boring services
Other Heavy and Civil Engineering Construction,Water Infrastructure,Dam reservoir and water facility construction
Other Heavy and Civil Engineering Construction,Power Plant Construction,Energy generation facility building projects
Other Heavy and Civil Engineering Construction,Port Construction,Harbor and marine terminal development
Other Heavy and Civil Engineering Construction,Stadium Construction,Sports venue and arena building projects
Other Heavy and Civil Engineering Construction,Mining Infrastructure,Mine site development and support facility construction
Other Heavy and Civil Engineering Construction,Telecommunications Infrastructure,Cell tower and communication facility construction
Other Heavy and Civil Engineering Construction,Pipeline Construction,Oil gas and water pipeline installation
Other Heavy and Civil Engineering Construction,Environmental Remediation,Pollution cleanup and site restoration projects
Other Heavy and Civil Engineering Construction,Flood Control Systems,Levee and flood prevention infrastructure
Other Heavy and Civil Engineering Construction,Wind Farm Construction,Wind turbine installation and wind energy projects
Site & Structural Works,Site Preparation,Land clearing and ground preparation for construction
Site & Structural Works,Excavation Services,Earth moving and trenching for construction projects
Site & Structural Works,Concrete Work,Structural concrete pouring and finishing
Site & Structural Works,Steel Erection,Structural steel installation and framework assembly
Site & Structural Works,Demolition Services,Safe building and structure removal
Site & Structural Works,Earthworks,Grading leveling and soil management
Site & Structural Works,Scaffolding Services,Temporary access structures for construction work
Site & Structural Works,Crane Services,Heavy lifting and material handling for construction
Site & Structural Works,Surveying Services,Land measurement and construction layout
Site & Structural Works,Utility Installation,Underground utility line installation and connection
MEP 鈥?Plumbing Electrical & HVAC,Mechanical Systems,Heating cooling and ventilation system installation
MEP 鈥?Plumbing Electrical & HVAC,Electrical Systems,Power distribution and lighting system installation
MEP 鈥?Plumbing Electrical & HVAC,Plumbing Systems,Water supply and drainage system installation
MEP 鈥?Plumbing Electrical & HVAC,Fire Protection Systems,Sprinkler and fire safety system installation
MEP 鈥?Plumbing Electrical & HVAC,Building Automation,Smart building control and monitoring systems
MEP 鈥?Plumbing Electrical & HVAC,Energy Management,Building energy efficiency and control systems
MEP 鈥?Plumbing Electrical & HVAC,Commissioning Services,System testing and performance verification
MEP 鈥?Plumbing Electrical & HVAC,Maintenance Contracts,Ongoing MEP system servicing and upkeep
MEP 鈥?Plumbing Electrical & HVAC,Emergency Repairs,24/7 mechanical electrical and plumbing emergency services
MEP 鈥?Plumbing Electrical & HVAC,System Upgrades,Modernization of existing building systems
Security & System Installations,Security System Installation,Burglar alarm and security equipment setup
Security & System Installations,CCTV Installation,Video surveillance camera system installation
Security & System Installations,Access Control Systems,Electronic door locks and entry control
Security & System Installations,Fire Alarm Systems,Smoke detection and fire warning system installation
Security & System Installations,Intercom Systems,Communication system installation for buildings
Security & System Installations,Home Automation,Smart home technology and control system setup
Security & System Installations,Network Cabling,Data and communication cable installation
Security & System Installations,Audio Visual Systems,Sound and video equipment installation
Security & System Installations,Monitoring Services,24/7 security system monitoring and response
Security & System Installations,System Maintenance,Ongoing security system servicing and updates
Interior Finishing,Painting Services,Interior and exterior painting and wall finishing
Interior Finishing,Flooring Installation,Carpet hardwood and tile flooring services
Interior Finishing,Drywall Installation,Wall construction and interior wall finishing
Interior Finishing,Trim and Molding,Decorative interior woodwork and finishing details
Interior Finishing,Ceiling Installation,Drop ceiling and decorative ceiling installation
Interior Finishing,Window Installation,Interior window and glazing installation
Interior Finishing,Door Installation,Interior door hanging and hardware installation
Interior Finishing,Tile Work,Bathroom and kitchen tile installation
Interior Finishing,Wallpaper Installation,Decorative wall covering application
Interior Finishing,Finish Carpentry,Custom interior woodwork and built-in furniture
Equipment Hire & Miscellaneous,Construction Equipment Rental,Heavy machinery and tool rental for construction
Equipment Hire & Miscellaneous,Party Equipment Rental,Tables chairs and event equipment rental
Equipment Hire & Miscellaneous,Audio Visual Rental,Sound and projection equipment for events
Equipment Hire & Miscellaneous,Vehicle Rental,Short-term car truck and specialty vehicle rental
Equipment Hire & Miscellaneous,Tool Rental,Power tools and hand tools for DIY projects
Equipment Hire & Miscellaneous,Tent Rental,Temporary shelter and marquee rental for events
Equipment Hire & Miscellaneous,Cleaning Equipment Rental,Commercial cleaning machinery and equipment
Equipment Hire & Miscellaneous,Garden Equipment Rental,Landscaping and lawn care equipment rental
Equipment Hire & Miscellaneous,Medical Equipment Rental,Healthcare equipment for temporary use
Equipment Hire & Miscellaneous,Storage Container Rental,Temporary storage solutions and moving containers
Basic Material Wholesaling,Building Material Supply,Bulk distribution of construction materials
Basic Material Wholesaling,Steel and Metal Supply,Wholesale distribution of metal products
Basic Material Wholesaling,Timber Wholesaling,Bulk lumber and wood product distribution
Basic Material Wholesaling,Chemical Supply,Industrial chemical distribution and supply
Basic Material Wholesaling,Plastic Material Supply,Raw plastic and polymer material distribution
Basic Material Wholesaling,Textile Material Supply,Fabric and textile material wholesale
Basic Material Wholesaling,Paper Product Supply,Bulk paper and packaging material distribution
Basic Material Wholesaling,Glass and Ceramic Supply,Building glass and ceramic material distribution
Basic Material Wholesaling,Concrete Product Supply,Precast concrete and cement product distribution
Basic Material Wholesaling,Insulation Material Supply,Thermal and acoustic insulation material wholesale
Machinery and Equipment Wholesaling,Industrial Equipment Supply,Heavy machinery distribution for manufacturing
Machinery and Equipment Wholesaling,Construction Equipment Supply,Building and earthmoving equipment distribution
Machinery and Equipment Wholesaling,Agricultural Equipment Supply,Farm machinery and equipment distribution
Machinery and Equipment Wholesaling,Medical Equipment Supply,Healthcare equipment and device distribution
Machinery and Equipment Wholesaling,Office Equipment Supply,Business equipment and furniture distribution
Machinery and Equipment Wholesaling,Restaurant Equipment Supply,Commercial kitchen and food service equipment
Machinery and Equipment Wholesaling,Computer Equipment Supply,IT hardware and technology equipment distribution
Machinery and Equipment Wholesaling,HVAC Equipment Supply,Heating cooling and ventilation equipment distribution
Machinery and Equipment Wholesaling,Cleaning Equipment Supply,Commercial cleaning machinery distribution
